,City,State_ab,Mean,displayName,cost-after-aid
0,25,1,0.20640541553259736,Case Western Reserve University,0.42582513028372904
1,25,1,0.21158541857965799,Case Western Reserve University,0.42582513028372904
2,25,10,0.1634048020028247,Case Western Reserve University,0.42582513028372904
3,25,24,0.12189477758516329,Case Western Reserve University,0.42582513028372904
4,25,24,0.08495534409137888,Case Western Reserve University,0.42582513028372904
5,25,23,0.3330478429693194,Case Western Reserve University,0.42582513028372904
6,25,32,0.4164178920105247,Case Western Reserve University,0.42582513028372904
7,25,32,0.1091465347920793,Case Western Reserve University,0.42582513028372904
8,25,32,0.11949007028827664,Case Western Reserve University,0.42582513028372904
9,25,32,0.12391242583083872,Case Western Reserve University,0.42582513028372904
10,25,32,0.13274478396751999,Case Western Reserve University,0.42582513028372904
11,25,32,0.09107828886958169,Case Western Reserve University,0.42582513028372904
12,25,32,0.19629246840733436,Case Western Reserve University,0.42582513028372904
13,25,32,0.20490659112152418,Case Western Reserve University,0.42582513028372904
14,25,32,0.12512301477824397,Case Western Reserve University,0.42582513028372904
15,25,32,0.14373479043222967,Case Western Reserve University,0.42582513028372904
16,25,32,0.13274478396751999,Case Western Reserve University,0.42582513028372904
17,25,32,0.10426712015712951,Case Western Reserve University,0.42582513028372904
18,25,32,0.21426600839176965,Case Western Reserve University,0.42582513028372904
19,25,32,0.1106412415536715,Case Western Reserve University,0.42582513028372904
20,25,32,0.1720765718097481,Case Western Reserve University,0.42582513028372904
21,25,32,0.1510600888588758,Case Western Reserve University,0.42582513028372904
22,25,32,0.11517065598273882,Case Western Reserve University,0.42582513028372904
23,25,32,0.15411950242323672,Case Western Reserve University,0.42582513028372904
24,25,32,0.1584306814298126,Case Western Reserve University,0.42582513028372904
25,25,32,0.18548775616926833,Case Western Reserve University,0.42582513028372904
26,25,32,0.09145299497234999,Case Western Reserve University,0.42582513028372904
27,25,32,0.07698357469622041,Case Western Reserve University,0.42582513028372904
28,25,32,0.08586946227615427,Case Western Reserve University,0.42582513028372904
29,25,32,0.12297771939865847,Case Western Reserve University,0.42582513028372904
30,25,32,0.09422005542356202,Case Western Reserve University,0.42582513028372904
31,25,32,0.10159064799449882,Case Western Reserve University,0.42582513028372904
32,25,32,0.1385877285810168,Case Western Reserve University,0.42582513028372904
33,25,32,0.05807532827960487,Case Western Reserve University,0.42582513028372904
34,25,32,0.07891475230279547,Case Western Reserve University,0.42582513028372904
35,25,32,0.06433827314016068,Case Western Reserve University,0.42582513028372904
36,25,32,0.09455770268100158,Case Western Reserve University,0.42582513028372904
37,25,32,0.039335905491709115,Case Western Reserve University,0.42582513028372904
38,25,32,0.1151171265394862,Case Western Reserve University,0.42582513028372904
39,25,32,0.0473323807837534,Case Western Reserve University,0.42582513028372904
40,25,32,0.06576709751005735,Case Western Reserve University,0.42582513028372904
41,25,32,0.1725953956443504,Case Western Reserve University,0.42582513028372904
42,25,32,0.21419189070111216,Case Western Reserve University,0.42582513028372904
43,25,32,0.08274828396957881,Case Western Reserve University,0.42582513028372904
44,25,32,0.08605063885331697,Case Western Reserve University,0.42582513028372904
45,25,32,0.18286893109937125,Case Western Reserve University,0.42582513028372904
46,25,32,0.12252477795575174,Case Western Reserve University,0.42582513028372904
47,25,32,0.03997002351177854,Case Western Reserve University,0.42582513028372904
48,25,32,0.06909415829068134,Case Western Reserve University,0.42582513028372904
49,25,32,0.07743239848964617,Case Western Reserve University,0.42582513028372904
50,25,32,0.049407676122162424,Case Western Reserve University,0.42582513028372904
51,25,32,0.14031714136302434,Case Western Reserve University,0.42582513028372904
52,25,32,0.09455770268100158,Case Western Reserve University,0.42582513028372904
53,25,32,0.18670246276615457,Case Western Reserve University,0.42582513028372904
54,25,32,0.1437594963291155,Case Western Reserve University,0.42582513028372904
55,25,32,0.14441420259658977,Case Western Reserve University,0.42582513028372904
56,25,32,0.1907583475049103,Case Western Reserve University,0.42582513028372904
57,25,32,0.13178948928793488,Case Western Reserve University,0.42582513028372904
58,25,32,0.18335069608864477,Case Western Reserve University,0.42582513028372904
59,25,32,0.20277776633986255,Case Western Reserve University,0.42582513028372904
60,25,32,0.10993300584294462,Case Western Reserve University,0.42582513028372904
61,25,32,0.184149520087953,Case Western Reserve University,0.42582513028372904
62,25,32,0.17951304677238045,Case Western Reserve University,0.42582513028372904
63,25,32,0.04664473332043136,Case Western Reserve University,0.42582513028372904
64,25,32,0.11993477643222143,Case Western Reserve University,0.42582513028372904
65,25,32,0.06589062699448647,Case Western Reserve University,0.42582513028372904
66,25,32,0.2008836475786162,Case Western Reserve University,0.42582513028372904
67,25,32,0.16221068365334332,Case Western Reserve University,0.42582513028372904
68,25,32,0.07687239816023421,Case Western Reserve University,0.42582513028372904
69,25,32,0.08322593130937136,Case Western Reserve University,0.42582513028372904
70,25,32,0.1816665774509279,Case Western Reserve University,0.42582513028372904
71,25,32,0.1698612763889861,Case Western Reserve University,0.42582513028372904
72,25,32,0.17626833898137587,Case Western Reserve University,0.42582513028372904
73,25,32,0.4164178920105247,Case Western Reserve University,0.42582513028372904
74,25,33,0.21011130006547063,Case Western Reserve University,0.42582513028372904
75,25,39,0.23065837097551234,Case Western Reserve University,0.42582513028372904
76,25,39,0.08592710936888787,Case Western Reserve University,0.42582513028372904
77,25,39,0.141470083217696,Case Western Reserve University,0.42582513028372904
78,25,39,0.4017055304150179,Case Western Reserve University,0.42582513028372904
79,25,39,0.23519190305406062,Case Western Reserve University,0.42582513028372904
80,25,39,0.09788888111110654,Case Western Reserve University,0.42582513028372904
